city,population_2020,state,population_state,GDP_2020(billion USD),urban_area_km2,oe,vkt_public_transport,rho_r,rho_i,rho_ratio,road_length_km
mangaluru,736688,KARNATAKA,70511891,6.147726848,135.01855274371997,3.5131656730162906,62780000.0,12.198499928934904,82.37386473184006,0.1480870172675023,1647.0238060491615
meerut,1733161,UTTAR PRADESH,232192037,6.931791872,145.53426144952715,3.3720629829294366,91797500.0,19.835670230616287,190.29196097308383,0.1042380882995996,2886.7696173691133
moradabad,1430782,UTTAR PRADESH,232192037,3.85441664,143.78822204407683,3.425303290327873,88330000.0,12.004852143343738,109.58477527575138,0.1095485400516228,1726.156345593421
mumbai,14293546,MAHARASHTRA,126536129,235.313496064,459.27548781195003,3.4819968236186973,188218333.3333333,14.032524976219715,109.5856437707548,0.1280507600573551,6444.794753686682
muzaffarpur,563018,BIHAR,125238091,1.265745536,27.27132242365622,3.3378438476070964,59711893.37872853,19.6638136633464,186.716284633964,0.1053138653754548,536.2582024918161
mysuru,1001421,KARNATAKA,70511891,10.574650368,86.31912707031779,3.260255033301345,86504999.99999999,25.82425550427868,251.74026588913696,0.1025829356820149,2229.127192370185
nagpur,2649651,MAHARASHTRA,126536129,23.15874304,221.0239866890283,3.348890547243376,22265000.0,23.584104956708963,254.45202053624783,0.0926858623759653,5212.652900024288
nalgonda,203225,TELANGANA,38968605,1.129096064,106.53708500056743,3.340811670427007,38726320.48861289,9.725160068234665,71.53377624288679,0.1359520016839838,1036.0902048336409
nashik,1867656,MAHARASHTRA,126536129,11.165231104,264.4978214440781,3.344504003194212,14600000.0,12.918466960643318,100.21632637758525,0.1289058123321182,3416.9063674874587
nellore,690486,ANDHRA PRADESH,53387780,3.984125184,156.6903760744114,3.3128227377355266,39339407.66723364,12.363663202990102,96.63005718238638,0.1279484206415613,1937.267036933881
noida,1321650,UTTAR PRADESH,232192037,9.956035584,150.65979718608077,3.4609595500733974,50005000.0,23.797094463374385,197.4780303417848,0.1205050223672354,3585.26542546999
panaji,120143,GOA,1551926,1.050416576,8.183369378519682,3.519931263288828,39283188.14010041,19.729168750359527,188.430941910988,0.1047023835378337,161.45107541533957
patiala,764662,PUNJAB,31255959,6.702062592,239.85338762882174,3.421260687721517,28973559.672062512,10.647680304179758,75.83382573752874,0.1404080593406013,2553.882191346198
patna,2456695,BIHAR,125238091,5.831462912,98.61575847856882,3.2479121984588346,40911423.97934127,22.501880685912525,199.60298743002343,0.1127331858888194,2219.040031035522
pune,4685469,MAHARASHTRA,126536129,62.11004416,263.1900522245908,3.3237832669734773,113758333.33333334,20.855757207427637,214.3204103773102,0.0973111108303271,5489.027828606264
raipur,1246543,CHHATTISGARH,29680526,5.563660288,174.63999510459902,3.470914428646696,28632425.807831183,15.311892629889094,122.07398418232422,0.1254312516499825,2674.068853925977
rajkot,1327869,GUJARAT,70846459,13.448361984,105.80428792472648,3.376916802817915,55074454.3021499,22.51907143564869,227.77904820970707,0.0988636646462596,2382.6143179748583
ranchi,1578790,JHARKHAND,39247441,4.840635392,174.8893819535583,3.383000494066376,25299467.059304744,14.629560570176166,120.27030895212128,0.1216390038209687,2558.554806370256
rourkela,300430,ODISHA,46690946,0.804645248,54.67288078249757,3.213618149765648,43144365.59479082,13.352657349763415,104.65883483922406,0.1275827059442773,730.0282434131552
sagar,388591,MADHYA PRADESH,84567635,1.415586304,34.44731732996157,3.531730864277133,52747134.63397202,11.283043853542866,89.87637470704178,0.1255395969221135,388.6705920708636
sangli-miraj-kupwad,661229,MAHARASHTRA,126536129,4.947664896,106.17681972314902,3.2712945943722342,60220972.08206335,13.235512890194348,101.93373683842157,0.1298442821847528,1405.3046660855805
shilong,191737,MEGHALAYA,3646684,0.727427328,10.192827656050033,3.5727464748220834,38136672.17599121,15.476165950823582,109.88118682995834,0.1408445467081915,157.7458923131745
shimla,208290,HIMACHAL PRADESH,7582996,2.04159424,28.03019771253646,3.573864380805388,39503499.83893855,9.300058265247587,28.540647775816485,0.3258530898912484,260.6824719129987
shivamogga,419256,KARNATAKA,70511891,3.52292352,76.92870040772432,3.444522639243546,40271666.66666666,17.03775995057515,146.65527872179143,0.1161755655784896,1310.6927308565196
silchar,513169,ASSAM,35170839,2.07866624,70.99979137721886,3.4732965774249926,39102081.03725832,8.846483038518164,47.15506813551352,0.1876040771077941,628.0984501568947
siliguri,320439,WEST BENGAL,100644486,1.245393664,37.35078532235109,3.2807154020976896,56327505.97570384,22.441094564578684,192.9812168015289,0.1162864186293227,838.1925054801584
solapur,1120562,MAHARASHTRA,126536129,6.016082944,180.4589421264897,3.421555558949768,486666.66666666674,10.276004901094993,89.45525120436999,0.1148731322392507,1854.3969737382251
srinagar,1351715,JAMMU AND KASHMIR,18119323,13.150550016,229.1377718373979,3.5511322673752432,29995886.325467084,12.587856519536572,103.3963096089302,0.1217437698419497,2884.353395095473
